latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
38.8296,-77.30528,2016-11-11,us,#100mapathons Mason Mappers OpenStreetMap Workshop,"George Mason University Center for Social Science Research and Potomac Arts Academy, Fairfax, United States",https://www.openstreetmap.org/way/256751303#map=19/38.82960/-77.30528,13:00-14:00,https://www.eventbrite.com/e /mad-aag-2016-tickets- 26316097155?aff=eac2
42.37672,20.42623,2016-11-11,rs,#100mapathons Elementary School M. Kepuska Mapathon,"Gjakova, Gjakova, Kosovo, Serbia",http://www.openstreetmap.org/#map=19/42.37672/20.42623,13:30-15:30,
48.81747,2.39502,2016-11-12,fr,#100mapathons Mapathon Ivry-Dianguirdé,"Espace public, maison de la citoyenneté J. Rousseau, Ivry-sur-Seine, France",http://www.openstreetmap.org/way/79153438,14:00-18:00,https://www.eventbrite.fr/e/billets-mapathon-missing-maps-dianguirde-mali-jumelee-avec-ivry-sur-seine-94-29054349341
12.97912,77.59096,2016-11-12,in,#100mapathons Map Reading workshop for school children,"Bengaluru, Bengaluru, India",http://www.openstreetmap.org/node/3401391999,8:00-12:00,
8.479,-13.26828,2016-11-12,sl,#100mapathons Sierra Leone Red Cross Society Mapathon,"Saint George, Freetown, Freetown, Sierra Leone",http://www.openstreetmap.org/node/27565056,10:00-13:00,
15/55.8619,-4.338,2016-11-13,gb,#100mapathons Medsin National Conference 2016,"Queen Elizabeth University Hospital TLC , Glasgow , United Kingdom",http://www.openstreetmap.org/#map=15/55.8619/-4.3382&layers=N,09:00-17:00,http://medsin.org/news-and-events/national-conferences/national-conference-2016/national-conference-2016-inspiring-change-glasgows-call-to-action/booking
52.22365,6.88566,2016-11-14,nl,#100mapathons Mapping Party - Missing Maps Malawi,"ITC, Faculty of Geo-Information, Enschede, The Netherlands",http://www.openstreetmap.org/?mlat=52.22364&mlon=6.88566#map=19/52.22365/6.88566&layers=H,15:00-20:00,https://goo.gl/forms/A5Dy5soZ26IsE3q53
52.00906,4.3569,2016-11-14,nl,#100mapathons Mapping Party: putting Malawi on the map,"UNESCO-IHE Institute for Water Education, Delft, The Netherlands",http://www.openstreetmap.org/way/254135534,15:30-20:00,https://www.unesco-ihe.org/mapping-party-putting-malawi-map
38.91207,-77.01902,2016-11-14,us,#100mapathons OSM GeoWeek Mapathon - Hosted by Development Seed,"Development Seed, Washington DC, United States",http://www.openstreetmap.org/search?query=38.912068%2C-77.01902280000002#map=18/38.91207/-77.01902,18:30-21:00,https://www.eventbrite.com/e/osm-geoweek-mapathon-hosted-by-development-seed-tickets-29088088255
42.908,-78.87615,2016-11-14,us,#100mapathons SUNY at Buffalo Mapathon,"Ellicott Complex Buffalo, Buffalo, United States",http://www.openstreetmap.org/way/23641103#map=17/42.90800/-78.87615,16:30-19:00,https://www.meetup.com/Maptime-Buffalo/
52.00906,4.35656,2016-11-14,nl,#100mapathons Mapping Party: putting Malawi on the map,"UNESCO-IHE Water Institute, Delft, The Netherlands",http://www.openstreetmap.org/way/254135534,15:30-20:00,https://www.unesco-ihe.org/mapping-party-putting-malawi-map
39.74423,-105.00162,2016-11-14,us,#100mapathons MSU Mapathon for Mongolia,"Science Building, Denver, United States",http://www.openstreetmap.org/way/189250543#map=18/39.74423/-105.00162,17:00-19:00,http://sites.msudenver.edu/geospatial/2016/11/01/openstreetmap-mapathon-november-14-5pm/
39.74511,-105.00863,2016-11-14,us,#100mapathons Ger Community Mapping Center Mapathon,"Metropolitan State University Aerospace and Engineering Sciences Building, Denver, United States",http://www.openstreetmap.org/?mlat=39.74510595202446&mlon=-105.00863313674927#map=18/39.74511/-105.00863,17:00-19:00,http://sites.msudenver.edu/geospatial/2016/11/01/openstreetmap-mapathon-november-14-5pm/
40.87687,-124.07752,2016-11-14,us,#100mapahons HSU Mapathon for Ulaanbaatar,"Kosmos Lab, Arcata, United States",https://www.openstreetmap.org/note/775713#map=19/40.87687/-124.07752&layers=N,11:00-14:00,https://www.facebook.com/events/1792127874362502/
